origin,year,asylum_apps
ARG,2008,147
ARG,2009,77
ARG,2010,83
ARG,2011,105
ARG,2012,117
ARG,2013,69
ARG,2014,57
ARG,2015,97
ARG,2016,105
ARG,2017,185
ARG,2018,310
ARG,2019,652
ARG,2020,654
ARG,2021,834
ARG,2022,1492
ARG,2023,2958
ATG,2008,16
ATG,2009,23
ATG,2010,18
ATG,2011,31
ATG,2012,37
ATG,2013,19
ATG,2014,30
ATG,2015,19
ATG,2016,34
ATG,2017,61
ATG,2018,31
ATG,2019,41
ATG,2020,7
ATG,2021,22
ATG,2022,24
ATG,2023,28
BHS,2008,30
BHS,2009,30
BHS,2010,39
BHS,2011,48
BHS,2012,36
BHS,2013,25
BHS,2014,44
BHS,2015,95
BHS,2016,137
BHS,2017,243
BHS,2018,280
BHS,2019,357
BHS,2020,303
BHS,2021,246
BHS,2022,969
BHS,2023,1534
BLZ,2008,5
BLZ,2009,16
BLZ,2010,39
BLZ,2011,45
BLZ,2012,39
BLZ,2013,43
BLZ,2014,54
BLZ,2015,40
BLZ,2016,77
BLZ,2017,89
BLZ,2018,86
BLZ,2019,126
BLZ,2020,75
BLZ,2021,95
BLZ,2022,225
BLZ,2023,686
BOL,2008,392
BOL,2009,324
BOL,2010,234
BOL,2011,265
BOL,2012,228
BOL,2013,205
BOL,2014,187
BOL,2015,178
BOL,2016,201
BOL,2017,224
BOL,2018,328
BOL,2019,528
BOL,2020,376
BOL,2021,498
BOL,2022,1007
BOL,2023,2990
BRA,2008,469
BRA,2009,387
BRA,2010,465
BRA,2011,593
BRA,2012,632
BRA,2013,443
BRA,2014,655
BRA,2015,1122
BRA,2016,1824
BRA,2017,3412
BRA,2018,4018
BRA,2019,6444
BRA,2020,7606
BRA,2021,10507
BRA,2022,32127
BRA,2023,36610
BRB,2008,34
BRB,2009,46
BRB,2010,41
BRB,2011,71
BRB,2012,48
BRB,2013,24
BRB,2014,29
BRB,2015,40
BRB,2016,47
BRB,2017,73
BRB,2018,78
BRB,2019,101
BRB,2020,42
BRB,2021,59
BRB,2022,222
