origin,dest,year,asylum_apps
ARG,AUS,2009,5
ARG,AUS,2010,5
ARG,AUS,2015,7
ARG,AUS,2016,6
ARG,AUS,2017,12
ARG,AUS,2020,13
ARG,AUS,2022,6
ARG,AUS,2023,29
ARG,BEL,2010,8
ARG,BEL,2012,10
ARG,BEL,2013,11
ARG,BEL,2023,5
ARG,BOL,2012,5
ARG,BOL,2019,5
ARG,BRA,2015,6
ARG,BRA,2016,5
ARG,BRA,2017,21
ARG,BRA,2018,39
ARG,BRA,2019,67
ARG,BRA,2020,20
ARG,BRA,2021,8
ARG,BRA,2022,58
ARG,BRA,2023,126
ARG,CAN,2008,36
ARG,CAN,2009,38
ARG,CAN,2010,20
ARG,CAN,2011,12
ARG,CAN,2012,10
ARG,CAN,2013,5
ARG,CAN,2014,5
ARG,CAN,2015,16
ARG,CAN,2016,8
ARG,CAN,2017,24
ARG,CAN,2018,27
ARG,CAN,2019,30
ARG,CAN,2021,44
ARG,CAN,2022,78
ARG,CAN,2023,79
ARG,COL,2023,5
ARG,CRI,2017,5
ARG,CRI,2018,9
ARG,CRI,2019,9
ARG,CRI,2021,31
ARG,CRI,2022,44
ARG,DEU,2018,14
ARG,DEU,2019,16
ARG,DEU,2020,11
ARG,DEU,2021,5
ARG,DEU,2022,7
ARG,DEU,2023,24
ARG,ECU,2008,12
ARG,ECU,2009,16
ARG,ECU,2011,13
ARG,ECU,2012,5
ARG,ECU,2017,5
ARG,ECU,2018,5
ARG,ECU,2021,5
ARG,ECU,2022,5
ARG,ESP,2008,8
ARG,ESP,2012,5
ARG,ESP,2016,10
ARG,ESP,2017,20
ARG,ESP,2018,54
ARG,ESP,2019,272
ARG,ESP,2020,411
ARG,ESP,2021,285
ARG,ESP,2022,702
ARG,ESP,2023,1254
ARG,FRA,2008,6
ARG,FRA,2014,5
ARG,FRA,2018,5
ARG,FRA,2019,5
ARG,FRA,2020,11
ARG,FRA,2021,16
ARG,FRA,2022,13
ARG,FRA,2023,21
ARG,GBR,2011,5
ARG,GBR,2012,5
ARG,GBR,2016,5
ARG,GBR,2019,7
ARG,GBR,2020,14
ARG,GBR,2021,7
ARG,GBR,2022,22
ARG,GBR,2023,7
ARG,GTM,2023,6
ARG,HUN,2015,5
ARG,IRL,2022,5
ARG,IRL,2023,9
ARG,ISR,2019,5
ARG,ISR,2020,5
ARG,ISR,2023,5
ARG,ITA,2016,5
ARG,ITA,2017,7
ARG,ITA,2018,9
ARG,ITA,2019,34
ARG,ITA,2020,17
ARG,ITA,2021,23
ARG,ITA,2022,68
ARG,ITA,2023,155
ARG,KOR,2018,5
ARG,KOR,2019,9
ARG,MEX,2011,6
ARG,MEX,2018,7
ARG,MEX,2019,30
ARG,MEX,2020,50
ARG,MEX,2021,201
ARG,MEX,2022,130
ARG,MEX,2023,151
ARG,NLD,2008,5
ARG,NLD,2019,5
ARG,NLD,2020,5
ARG,NLD,2021,6
ARG,NLD,2022,5
ARG,NZL,2020,5
ARG,PER,2011,9
ARG,PER,2013,7
ARG,PER,2018,10
ARG,PER,2019,5
ARG,PER,2020,5
ARG,PER,2023,7
ARG,PRY,2019,6
ARG,PRY,2021,7
ARG,PRY,2023,10
ARG,RUS,2018,10
ARG,RUS,2023,5
ARG,SWE,2008,10
ARG,SWE,2010,5
ARG,SWE,2012,5
ARG,SWE,2013,6
ARG,SWE,2015,7
ARG,SWE,2016,5
ARG,SWE,2017,5
ARG,SWE,2018,11
ARG,SWE,2019,32
ARG,SWE,2020,6
ARG,SWE,2021,11
ARG,SWE,2022,18
ARG,SWE,2023,15
ARG,SYR,2014,5
ARG,SYR,2015,5
ARG,URY,2010,5
ARG,URY,2012,5
ARG,URY,2018,6
ARG,URY,2020,5
ARG,URY,2021,5
ARG,URY,2023,20
ARG,USA,2008,70
ARG,USA,2009,18
ARG,USA,2010,40
ARG,USA,2011,60
ARG,USA,2012,67
ARG,USA,2013,40
ARG,USA,2014,42
ARG,USA,2015,51
ARG,USA,2016,61
ARG,USA,2017,86
ARG,USA,2018,99
ARG,USA,2019,115
ARG,USA,2020,76
ARG,USA,2021,180
ARG,USA,2022,331
ARG,USA,2023,1025
ATG,AUS,2017,5
ATG,CAN,2008,16
ATG,CAN,2009,23
ATG,CAN,2010,13
ATG,CAN,2011,31
ATG,CAN,2012,32
ATG,CAN,2013,19
ATG,CAN,2014,20
ATG,CAN,2015,14
ATG,CAN,2016,29
ATG,CAN,2017,51
ATG,CAN,2018,26
ATG,CAN,2019,22
ATG,CAN,2021,22
ATG,CAN,2022,17
ATG,CAN,2023,17
ATG,GBR,2014,5
ATG,GBR,2016,5
ATG,GBR,2017,5
ATG,GBR,2018,5
ATG,GBR,2019,9
ATG,GBR,2020,7
ATG,GBR,2022,7
ATG,GBR,2023,5
ATG,USA,2010,5
ATG,USA,2012,5
ATG,USA,2014,5
ATG,USA,2015,5
ATG,USA,2019,10
ATG,USA,2023,6
BHS,AUS,2016,5
BHS,CAN,2008,14
BHS,CAN,2009,17
BHS,CAN,2010,15
BHS,CAN,2011,25
BHS,CAN,2012,18
BHS,CAN,2013,10
BHS,CAN,2014,23
BHS,CAN,2015,71
BHS,CAN,2016,102
BHS,CAN,2017,211
BHS,CAN,2018,233
BHS,CAN,2019,326
BHS,CAN,2020,264
BHS,CAN,2021,159
BHS,CAN,2022,840
BHS,CAN,2023,746
BHS,GBR,2010,5
BHS,ITA,2014,5
BHS,ITA,2015,5
BHS,ITA,2017,5
BHS,UKR,2018,5
BHS,USA,2008,16
BHS,USA,2009,13
BHS,USA,2010,14
BHS,USA,2011,23
BHS,USA,2012,18
BHS,USA,2013,15
BHS,USA,2014,16
BHS,USA,2015,19
BHS,USA,2016,30
BHS,USA,2017,27
BHS,USA,2018,42
BHS,USA,2019,31
BHS,USA,2020,39
BHS,USA,2021,87
BHS,USA,2022,129
BHS,USA,2023,788
BHS,ZAF,2010,5
