iso,year,events_flood,events_drought,events_hurricane,deaths_flood,deaths_drought,deaths_hurricane,affected_flood,affected_drought,affected_hurricane
ARG,2008,1,0,0,0,0,0,85000,0,0
ARG,2009,2,1,0,9,0,0,34128,0,0
ARG,2012,1,0,0,6,0,0,10000,0,0
ARG,2013,1,0,0,52,0,0,350000,0,0
ARG,2014,3,0,0,3,0,0,7203,0,0
ARG,2015,3,0,0,11,0,0,141133,0,0
ARG,2016,2,0,0,0,0,0,85769,0,0
ARG,2017,3,0,0,1,0,0,51777,0,0
ARG,2018,3,1,0,0,0,0,63420,0,0
ARG,2019,3,1,0,6,8,0,35351,35000,0
ARG,2020,1,0,0,3,0,0,3000,0,0
ARG,2021,1,0,0,0,0,0,90,0,0
ARG,2023,1,0,1,0,0,0,38000,0,6000
ATG,2008,0,0,1,0,0,0,0,0,25800
ATG,2010,0,0,1,0,0,0,0,0,5000
ATG,2017,0,0,1,0,0,1,0,0,1800
BHS,2008,0,0,2,0,0,0,0,0,3000
BHS,2011,0,0,1,0,0,0,0,0,10000
BHS,2012,0,0,1,0,0,1,0,0,0
BHS,2013,1,0,0,0,0,0,1000,0,0
BHS,2015,0,0,1,0,0,33,0,0,6710
BHS,2016,0,0,1,0,0,0,0,0,0
BHS,2017,0,0,1,0,0,0,0,0,0
BHS,2019,0,0,1,0,0,356,0,0,14940
BLZ,2008,1,0,1,1,0,7,38000,0,10000
BLZ,2010,0,0,1,0,0,0,0,0,0
BLZ,2015,1,0,0,0,0,0,20000,0,0
BLZ,2016,0,0,1,0,0,0,0,0,10355
BLZ,2020,0,0,1,0,0,0,0,0,60000
BLZ,2022,0,0,1,0,0,0,0,0,172000
BOL,2008,0,1,0,0,0,0,0,27500,0
BOL,2009,1,0,0,0,0,0,63000,0,0
BOL,2010,1,1,0,26,0,0,227860,62500,0
BOL,2011,1,0,0,52,0,0,88825,0,0
BOL,2012,1,0,0,13,0,0,69085,0,0
BOL,2013,2,1,0,99,0,0,483995,340355,0
BOL,2014,1,1,0,38,0,0,185120,51180,0
BOL,2015,2,0,0,25,0,0,96890,0,0
BOL,2016,2,1,0,4,0,0,5420,665000,0
BOL,2018,1,0,0,6,0,0,12000,0,0
BOL,2019,2,0,0,60,0,0,349540,0,0
BOL,2020,2,0,0,26,0,0,37600,0,0
BOL,2021,7,0,0,50,0,0,303590,0,0
BOL,2022,1,0,0,60,0,0,375000,0,0
BOL,2023,4,1,0,22,10,0,208970,2050000,0
BRA,2008,4,0,0,200,0,0,1750929,0,0
BRA,2009,7,0,0,90,0,0,1859948,0,0
BRA,2010,3,1,0,363,0,0,231535,62000,0
BRA,2011,8,0,0,978,0,0,1185600,0,0
BRA,2012,2,1,0,3,0,0,290500,4000000,0
BRA,2013,5,0,0,119,0,0,204066,0,0
BRA,2014,4,1,0,41,0,0,550600,27000000,0
BRA,2015,4,0,0,11,0,0,298510,0,0
