iso,year,metric,hazard,value,type
ARG,2008,events,flood,1,event_count
ARG,2008,events,drought,0,event_count
ARG,2008,events,hurricane,0,event_count
ARG,2008,deaths,flood,0,fatalities
ARG,2008,deaths,drought,0,fatalities
ARG,2008,deaths,hurricane,0,fatalities
ARG,2008,deaths,total,0,fatalities
ARG,2008,deaths,per_event,0,fatalities
ARG,2008,affected,flood,85000,affected_pop
ARG,2008,affected,drought,0,affected_pop
ARG,2008,affected,hurricane,0,affected_pop
ARG,2008,affected,total,85000,affected_pop
ARG,2008,affected,per_event,85000,affected_pop
ARG,2008,int_disp,flood,635,internal_displacements
ARG,2008,int_disp,hurricane,0,internal_displacements
ARG,2008,int_disp,drought,0,internal_displacements
ARG,2008,int_disp,total_pc100k,1.5708432494359559,internal_displacements
BOL,2008,events,flood,0,event_count
BOL,2008,events,drought,1,event_count
BOL,2008,events,hurricane,0,event_count
BOL,2008,deaths,flood,0,fatalities
BOL,2008,deaths,drought,0,fatalities
BOL,2008,deaths,hurricane,0,fatalities
BOL,2008,deaths,total,0,fatalities
BOL,2008,deaths,per_event,0,fatalities
BOL,2008,affected,flood,0,affected_pop
BOL,2008,affected,drought,27500,affected_pop
BOL,2008,affected,hurricane,0,affected_pop
BOL,2008,affected,total,27500,affected_pop
BOL,2008,affected,per_event,27500,affected_pop
BOL,2008,int_disp,flood,0,internal_displacements
BOL,2008,int_disp,hurricane,0,internal_displacements
BOL,2008,int_disp,drought,0,internal_displacements
BOL,2008,int_disp,total_pc100k,0,internal_displacements
BRA,2008,events,flood,4,event_count
BRA,2008,events,drought,0,event_count
BRA,2008,events,hurricane,0,event_count
BRA,2008,deaths,flood,200,fatalities
BRA,2008,deaths,drought,0,fatalities
BRA,2008,deaths,hurricane,0,fatalities
BRA,2008,deaths,total,200,fatalities
BRA,2008,deaths,per_event,50,fatalities
BRA,2008,affected,flood,1750929,affected_pop
BRA,2008,affected,drought,0,affected_pop
BRA,2008,affected,hurricane,0,affected_pop
BRA,2008,affected,total,1750929,affected_pop
BRA,2008,affected,per_event,437732.25,affected_pop
BRA,2008,int_disp,flood,284435,internal_displacements
BRA,2008,int_disp,hurricane,25000,internal_displacements
BRA,2008,int_disp,drought,0,internal_displacements
BRA,2008,int_disp,total_pc100k,162.5462969475714,internal_displacements
CHL,2008,events,flood,2,event_count
CHL,2008,events,drought,0,event_count
CHL,2008,events,hurricane,0,event_count
CHL,2008,deaths,flood,9,fatalities
CHL,2008,deaths,drought,0,fatalities
CHL,2008,deaths,hurricane,0,fatalities
CHL,2008,deaths,total,9,fatalities
CHL,2008,deaths,per_event,4.5,fatalities
CHL,2008,affected,flood,121755,affected_pop
CHL,2008,affected,drought,0,affected_pop
CHL,2008,affected,hurricane,0,affected_pop
CHL,2008,affected,total,121755,affected_pop
CHL,2008,affected,per_event,60877.5,affected_pop
CHL,2008,int_disp,flood,35000,internal_displacements
CHL,2008,int_disp,hurricane,0,internal_displacements
CHL,2008,int_disp,drought,0,internal_displacements
CHL,2008,int_disp,total_pc100k,207.850970616524,internal_displacements
COL,2008,events,flood,2,event_count
COL,2008,events,drought,0,event_count
COL,2008,events,hurricane,0,event_count
COL,2008,deaths,flood,87,fatalities
COL,2008,deaths,drought,0,fatalities
COL,2008,deaths,hurricane,0,fatalities
COL,2008,deaths,total,87,fatalities
