iso,year,events_flood,events_drought,events_hurricane,deaths_flood,deaths_drought,deaths_hurricane,affected_flood,affected_drought,affected_hurricane,int_disp_flood,int_disp_hurricane,int_disp_drought,asylum_apps,gdp_pc_const,agri_va_pct,unemp_rate,remit_gdp_pct,population,gini_index,diaspora_US,diaspora_ESP,total_events,total_int_disp,asylum_apps_pc100k,int_disp_total_pc100k,deaths_total,affected_total,deaths_per_event,affected_per_event,any_drought_event,any_flood_event,any_hurricane_event,any_internal_disp,log_asylum_apps,log_int_disp_total,log_events_total,lag_asylum_apps,lag_int_disp_total,lag_total_events,lag_drought_events,lag_flood_events,lag_hurricane_events
ARG,2008,1,0,0,0,0,0,85000,0,0,635,0,0,147,13197.3570267029,7.3189545972436,7.837,0.195029381449765,40424148,45,NA,NA,1,635,0.3636440278221819,1.5708432494359559,0,85000,0,85000,0,1,0,1,4.997212273764115,6.455198563340122,0.6931471805599453,NA,NA,NA,NA,NA,NA
BOL,2008,0,1,0,0,0,0,0,27500,0,0,0,0,392,2383.25032578229,10.4424041155226,2.603,6.8052035811511304,9850858,50.8,NA,NA,1,0,3.9793488039315967,0,0,27500,0,27500,1,0,0,0,5.973809611869261,0,0.6931471805599453,NA,NA,NA,NA,NA,NA
BRA,2008,4,0,0,200,0,0,1750929,0,0,284435,25000,0,469,8330.76459841304,4.56785118025741,8.268,0.214793412211116,190367302,54,NA,NA,4,309435,0.2463658386039426,162.5462969475714,200,1750929,50,437732.25,0,1,0,1,6.152732694704104,12.642506564586474,1.6094379124341003,NA,NA,NA,NA,NA,NA
CHL,2008,2,0,0,9,0,0,121755,0,0,35000,0,0,199,11356.0922105983,3.42443226132978,9.285,0,16838988,NA,NA,NA,2,35000,1.1817812329339508,207.850970616524,9,121755,4.5,60877.5,0,1,0,1,5.298317366548036,10.463131911491967,1.0986122886681098,NA,NA,NA,NA,NA,NA
COL,2008,2,0,0,87,0,0,1200000,0,0,30100,0,0,25430,5048.57187245249,6.6873848504052,11.273,1.99042004970298,43758808,55.3,NA,NA,2,30100,58.11401444024709,68.78615157890042,87,1200000,43.5,600000,0,1,0,1,10.143724181276514,10.31231367277647,1.0986122886681098,NA,NA,NA,NA,NA,NA
ECU,2008,1,0,0,41,0,0,275000,0,0,13871,0,0,345,4939.90215021789,7.3493757008365,3.917,5.05178528024742,14575202,49.8,NA,NA,1,13871,2.3670340898191324,95.1684923474817,41,275000,41,275000,0,1,0,1,5.846438775057725,9.537627699020323,0.6931471805599453,NA,NA,NA,NA,NA,NA
GUY,2008,1,0,0,0,0,0,100000,0,0,0,0,0,216,4472.34517889699,31.7275647737363,11.027,9.05385270584475,754606,NA,NA,NA,1,0,28.624209189961384,0,0,100000,0,100000,0,1,0,0,5.37989735354046,0,0.6931471805599453,NA,NA,NA,NA,NA,NA
PRY,2008,0,1,0,0,4,0,0,18000,0,0,60,0,17,4788.6631877791,13.4176454912948,4.415,1.4731913743804,5613574,50.7,NA,NA,1,60,0.3028373724119429,1.068837784983328,4,18000,4,18000,1,0,0,1,2.8903717578961645,4.110873864173311,0.6931471805599453,NA,NA,NA,NA,NA,NA
PER,2008,1,0,0,40,0,0,450000,0,0,45000,0,0,2681,4778.52642172313,7.16094114578461,4.03,2.02706961928358,28719041,47.5,NA,NA,1,45000,9.335269934675047,156.69046887742525,40,450000,40,450000,0,1,0,1,7.894318063841624,10.714439990727769,0.6931471805599453,NA,NA,NA,NA,NA,NA
SUR,2008,1,0,0,2,0,0,6548,0,0,0,0,0,10,8129.11464659446,8.92967622190142,8.831,0.0622705712518045,537245,NA,NA,NA,1,0,1.8613481744827778,0,2,6548,2,6548,0,1,0,0,2.3978952727983707,0,0.6931471805599453,NA,NA,NA,NA,NA,NA
